video_url,precision_nlp,recall_nlp,f1_nlp,precision_ai,recall_ai,f1_ai
https://www.youtube.com/watch?v=Vxf8CEmr4FA,0.2,0.06,0.09,0.2,0.06,0.09
https://www.youtube.com/watch?v=KJydc_pJSyU,0.33,0.57,0.42,0.25,0.43,0.32
https://www.youtube.com/watch?v=6FCgGcU64oc,0.33,0.17,0.22,0.22,0.11,0.15
https://www.youtube.com/watch?v=FJmojYM2I94,0.55,0.5,0.52,0.45,0.42,0.43
https://www.youtube.com/watch?v=Pr91QWjPAGw,0.17,0.06,0.08,0.17,0.06,0.08
https://www.youtube.com/watch?v=M3olYQ8HkIU,0.8,0.27,0.4,1.0,0.33,0.5
https://www.youtube.com/watch?v=Tg0XJ3tUW6k,0.25,0.07,0.11,0.0,0.0,0.0
https://www.youtube.com/watch?v=j83JWL_38GA,0.67,0.18,0.29,0.67,0.18,0.29
https://www.youtube.com/watch?v=PvapXqzCbwM,0.78,0.5,0.61,1.0,0.64,0.78
https://www.youtube.com/watch?v=KOhvU0V4BsI,0.0,0.0,0.0,0.4,0.12,0.19
https://www.youtube.com/watch?v=bjOK1gKy2bw,0.0,0.0,0.0,0.1,0.04,0.06
https://www.youtube.com/watch?v=aQT4TyJC-QE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=LsZ3nMT6JwY,0.25,0.06,0.1,0.25,0.06,0.1
https://www.youtube.com/watch?v=KY_4IF9fewE,0.11,0.31,0.16,0.05,0.15,0.08
https://www.youtube.com/watch?v=y6A50c_AMtk,0.4,0.29,0.33,0.6,0.43,0.5
https://www.youtube.com/watch?v=2xuhRme_SKQ,0.62,0.42,0.5,0.62,0.42,0.5
https://www.youtube.com/watch?v=aqiYiv0nS-I,0.29,0.33,0.31,0.57,0.67,0.62
https://www.youtube.com/watch?v=ebqTluqnzcs,0.57,0.17,0.27,0.57,0.17,0.27
https://www.youtube.com/watch?v=3PLsx8y8P58,1.0,0.05,0.09,0.0,0.0,0.0
https://www.youtube.com/watch?v=8scDY_w-t5E,0.25,0.11,0.15,0.0,0.0,0.0
https://www.youtube.com/watch?v=nFc3ppL5faU,0.15,0.14,0.15,0.31,0.29,0.3
https://www.youtube.com/watch?v=Z0-NIPAyd9o,0.12,0.03,0.05,0.25,0.06,0.09
https://www.youtube.com/watch?v=Ny6Q1QBrtNM,1.0,0.16,0.28,0.75,0.12,0.21
https://www.youtube.com/watch?v=TNV7O7kbm-U,0.5,0.11,0.18,0.5,0.11,0.18
https://www.youtube.com/watch?v=A1hI2pmUZpY,0.25,0.06,0.1,0.25,0.06,0.1
https://www.youtube.com/watch?v=K2UDx5n-oZ0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=Ab3Ke8AX8fw,0.71,0.45,0.56,0.71,0.45,0.56
https://www.youtube.com/watch?v=iG-ub33fiD4,0.5,0.21,0.3,0.5,0.21,0.3
https://www.youtube.com/watch?v=6b1IN44V86Y,0.67,0.29,0.4,0.5,0.21,0.3
https://www.youtube.com/watch?v=-nJMOB3f0qI,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=2y0TWi2K0r8,0.4,0.22,0.29,0.4,0.22,0.29
https://www.youtube.com/watch?v=_-ayGlHZunM,0.2,0.07,0.1,0.3,0.1,0.15
https://www.youtube.com/watch?v=nZTw_iJn6M4,1.0,0.11,0.2,1.0,0.11,0.2
